words	cates	weights	nums
不断	d	1196	305.9
通报	v	741	366.62
爱心	n	397	297.2
设施	n	744	415.18
探索	v	522	416.93
省份	n	196	162.58
请勿玩手机	n_new	2	15.95
人才	n	936	548.3
全面	ad	1221	380.66
方案	n	808	372.4
规划	n	1061	607.12
办法	n	770	372.97
野生动物	n_new	248	349.31
机会	n	428	284.81
特色	n	714	401.55
构成	v	357	279.77
快递	v	345	247.96
青年	n	605	400.09
大熊猫	n	83	69.06
同时	n	596	104.46
志街	n_new	7	15.46
爸爸	n	321	241.04
召开	v	443	355.12
规模	n	549	417.39
业务	n	681	492.71
书记	n	817	371.4
民众	n	409	360.59
咨询	vn	436	348.01
温暖	v	231	115.89
身份	n	574	374.13
移动履职	n_new	5	15.36
飞机	njtgj	469	342.61
房子	n	356	274.99
三峡大队	n_new	9	15.35
茶叶	n	80	94.86
促进	v	659	420.36
男子	n	672	404.85
最新通报	n_new	6	15.34
免费	vd	568	398.79
出来	vf	758	318.6
熊女士	n_new	8	15.32
夫妻俩	n_new	32	63.9
感到	v	242	266.67
团队	n	680	479.99
发放	v	226	235.8
毕业	v	467	298.9
心理	n	903	495.55
黄先生	n_new	12	15.27
专业	n	1359	819.06
给予	vx	525	437.79
招聘	v	302	264.84
男性	n	195	194.21
试点	vn	570	386.74
配合	v	399	343.66
空间	n	656	402.88
表达	v	286	262.63
用于	v	417	362.65
压力	n	586	389.62
网民	n_new	62	117.66
工资	n	374	296.02
节目	n	197	161.62
结构性失业	n_new	5	15.2
债务人	n	22	18.4
电话	n	1027	549.51
予以	vx	365	357.15
面向全国	n_new	7	22.94
赏樱	n_new	135	234.84
南极科考	n_new	5	15.18
结果	n	954	466.75
人生	n	359	276.75
舞台	n	115	128.43
政治	n	412	280.8
防范	vn	270	253.59
利益	n	502	329.18
结构	n	443	350.28
升级	vn	472	334.59
战略	n	403	275.81
考虑	v	556	395.83
朱女士	n_new	17	40.25
零容忍	n_new	15	50.68
夏警官	n_new	7	14.95
音乐剧	n	25	19.75
故事	n	505	281.63
贯彻落实	n_new	55	148.02
母先生	n_new	6	14.91
智慧路灯	n_new	6	14.91
家住罗山县	n_new	6	14.91
先生	n	1271	342.34
变化	vn	666	378.57
生活照	n_new	8	14.85
弱势群体	n_new	12	35.45
干部	n	806	449.85
在押人员	n_new	15	31.33
江宁区教育局	n_new	5	14.78
消息	n	1038	387.79
取保候审	n_new	27	35.14
保定市人民检察院	n_new	7	14.72
脱贫攻坚	n_new	201	384.82
街道办事处	n_new	23	60.54
犯错	n_new	5	14.72
濒危物种	n_new	26	41.93
违法违规	n_new	69	91.13
驾驶	v	513	366.94
举行	v	529	323.76
医护人员	n_new	223	428.08
管教民警	n_new	6	14.57
体育	n	307	237.21
履职尽责	n_new	3	14.55
公布	v	483	321.16
反映	v	534	362.58
地铁	njtgj	282	223.3
保证	v	418	338.88
维权	n	268	237.52
整改	vi	406	346.25
扩大	v	445	340.22
主张	n	81	90.52
房屋	n	347	286.78
茶园	n	46	52.15
年龄	n	395	329.72
支付	vn	652	465.22
符合	v	605	393.46
公益	n	625	345.3
冰雪	n	151	115.64
扩招	n_new	42	75.61
追求	vn	201	213.89
作业	vn	583	404.51
优先	v	219	212.01
山区	n	212	216.1
获取	v	207	222.98
新闻发布会	n_new	175	232.34
补贴	vn	321	275.47
抄袭	v	87	74.65
年度北京榜样	n_new	17	14.37
妇联	n	78	82.99
侦查	v	468	300.98
凶器翻墙	n_new	7	14.34
机遇	n	182	139.21
分享	vn	257	254.26
引发	v	507	363.43
关心	v	252	216.67
卫生间	n	76	79.35
关爱	vn	114	126.63
子女	n	393	308.68
引导	v	480	352.91
证明	v	533	394.56
高中	n	212	192.44
妻子	n	637	411.65
智慧	n	355	273.15
原因	n	860	424.28
直接	ad	860	325.73
招录	v	145	86.87
制假	v	66	68.95
查获	v	266	242.73
品种	n	213	200.76
办公室	n	415	337.18
审查	vn	553	338.03
范围	n	942	458.81
志愿	n	434	175.22
家人	n	438	334.56
场所	n	365	275.42
优势	n	425	254.79
事情	n	632	325.55
实践	vn	474	339.35
救援	vn	1231	573.75
应当	v	690	422.76
2月	t	701	64.42
体现	v	356	242.62
通知	n	666	353.64
下来	vf	681	312.06
重视	v	463	285.75
上前拉拽	n_new	6	13.79
格格姐姐	n_new	5	13.79
山东省交通运输	n_new	10	13.78
集体	n	338	265.47
做好	v	374	287.24
脱贫	vi	555	308.35
人民检察院	nt	236	80.08
停止	v	253	242.68
进一步	d	1464	297.97
回忆	v	401	249.94
提前	v	390	362.28
一直	d	1303	327.44
上班	vi	244	202.71
事故	n	1624	622.38
强化	v	419	284.7
感谢	v	264	258.35
金融	n	421	314.57
集团	n	766	447.08
鼓励	v	524	379.07
机场	n	516	327.6
互联网	n	902	522.4
同比增长	n_new	103	134.28
运输	vn	649	367.22
理念	n	419	259.68
全球	n	483	399.04
学科	n	269	248.66
年度	n	290	243.61
值得	v	319	272.46
遭遇	v	272	277.34
贸易	vn	234	198.68
团伙	n	562	301.8
收费	vn	434	297.45
扶贫	vn	592	397.69
把握	v	143	172.92
环保	n	460	345.77
适合	v	195	216.25
只能	v	389	318.95
不得	vi	411	280.96
奉献	v	126	140.81
程序	n	465	318.86
回应	v	310	245.78
槟榔	n	461	219.99
大队	n	511	342.22
民族	n	406	289
打开	v	328	309.56
骚扰	v	105	84.62
效果	n	490	343.01
状况	n	463	330.28
激励	v	170	190.13
印象	n	196	182.47
小时	n	1342	452.8
明显	ad	790	251.29
规则	n	209	182.08
商品	n	462	335.27
有效	ad	859	284.96
运营	vn	555	371.1
依据	n	290	232.76
消费者	n	1416	749.5
讨论	vn	241	221.97
资质	n	195	182.83
同意	v	314	269.24
部署	vn	361	275.26
建筑	n	661	467.06
成功	a	837	297.44
阶段	n	507	304.01
改善	v	464	352.13
因素	n	383	296.48
2000 多	n_new	14	22.54
兄妹	n	32	35.11
接地气	n_new	21	71.36
公务员	n	166	114.98
声音	n	255	213.09
大气污染	n_new	46	93.19
处罚	vn	766	373.63
流鼻血	n_new	6	13.13
一些	mq	2189	319.47
携带	v	302	249.6
罗女士	n_new	13	26.06
实地走访	n_new	6	20.89
创新驱动	n_new	14	44.94
转型升级	n_new	77	186.53
畜禽养殖	n_new	7	13.1
龙海法院	n_new	7	13
主动	ad	674	268.03
教学场所	n_new	13	12.96
留守儿童	n_new	60	127.72
举证	n_new	24	68.88
追逃	n_new	71	138.41
强制措施	n_new	22	29.24
整体	n	328	309.09
高职院校	n_new	51	87.39
社区自治	n_new	5	12.88
阴雨天气	n_new	5	12.88
涨停	n_new	5	12.88
社区居委会	n_new	11	31.5
流体画	n_new	5	12.88
呕吐物	n_new	7	20.64
二手房	n_new	25	43.33
彰显	n_new	35	100.62
pKU 患儿	n_new	5	12.88
乡村振兴	n_new	273	357.79
轻度污染为主	n_new	10	12.82
供述	n_new	93	172.19
催乳	n_new	7	12.82
西城法院	n_new	7	12.82
运用	v	230	242.76
回到	v	294	282.71
女性受访者	n_new	22	24
远程协商	n_new	6	12.8
水产养殖	n_new	6	12.8
发送旅客	n_new	67	103.71
农户	n	150	153.78
郑州市中原区	n_new	6	12.77
多	m	6037	178.84
机关	n	1567	391.43
故意杀人罪	n_new	28	52.51
举报	vn	530	383.84
回归	v	116	132.01
打工	vi	240	193.2
陶瓷企业	n_new	6	12.68
假冒伪劣食品	n_new	6	12.68
高端绿茶	n_new	6	12.68
禁止	v	365	304.78
投诉	vn	577	375.82
制造	vn	285	273.98
呈现	v	232	250.75
离开	v	378	313.19
政策落地	n_new	11	28
队伍	n	485	341.23
深化	v	330	268.42
技能人才	n_new	50	51.36
开发	vn	529	429.55
林先生	n_new	35	43.42
重大过失	n_new	6	20.39
南大洋	n_new	8	25.26
免费午餐	n_new	6	20.39
超纲	n_new	4	12.63
咀嚼槟榔	n_new	12	38.34
陆女士	n_new	18	43.93
常态化	n_new	67	169.51
范大爷	n_new	4	12.63
总体	n	265	241.59
冯东成	nr	19	12.62
雨水	n	87	108.55
学院	n	576	396.68
人力资源	n_new	115	179.04
创业	vi	472	358.79
电影	n	221	200.88
药品	n	821	475.62
开通	v	247	249.3
获得感	n_new	16	20.31
局地	n	377	165.49
优化	vn	353	292.23
经历	v	508	343.93
监控	vn	400	327.31
记录	v	631	437.55
迎来	v	232	245.49
展开	v	333	310.88
设置	v	463	383.15
劳动争议	n_new	7	12.53
青藏高原	n_new	80	157.11
救援直升机	n_new	11	22.72
官方	n	593	326.33
诉讼	vn	517	273.45
调整	vn	697	465.46
交易	vn	379	334.32
百姓	n	151	171.33
广场	n	254	211.13
观察	v	279	270.32
工业	n	474	336.91
缺乏	v	287	296.24
遭受	v	106	133.78
相比	vi	338	217.38
养老	vn	798	373.15
图片	n	253	222.67
正是	v	306	253.54
虚假宣传	n_new	76	115.44
苹果手机	n_new	10	29.03
联片调解	n_new	5	12.48
知识	n	723	408.85
连续	a	486	197.22
公安	n	1281	413.47
运邮	n_new	6	12.47
森林	n	734	386.06
租房	v	77	60.28
开启	vn	196	196.79
非常	d	986	312.3
降雪	vn	163	163.9
债务	n	149	151.84
律师	n	534	388.11
帮忙	vi	270	284.92
材料	n	548	381.44
生理	n	63	76.75
现实	n	429	299.89
仪式	n	288	234.02
尊重	v	203	198.49
人口	n	797	465.13
配餐	vn	35	36.42
特价房	n_new	9	12.38
广告	n	649	381.35
套路	n	206	144.72
期待	v	211	207.63
增强	v	356	284.55
3	m	1779	293.19
为由	vi	172	138.1
见到	v	238	234.52
增殖放流	n_new	6	12.34
帮扶	v	295	249.92
绿色	n	548	386.54
上升	vi	266	239.12
理解	vn	362	291.54
解除	v	160	144.13
财物	n	213	167.72
带动	v	315	282.4
买卖合同	n_new	32	55.04
大气	n	211	161.56
高校	n	700	447.49
引起	v	494	373.15
应用	vn	633	447.16
地震	n	224	173.93
扩散条件	n_new	30	45.59
航线	n	226	156.94
落地	vn	168	177.56
制止	v	101	111.09
电子营业执照	n_new	7	12.26
采访	v	597	273.42
报警	vn	551	308.96
草莓	n	42	38.9
物种	n	182	154.79
新华社	ntcn	601	347.73
权利	n	342	219.17
实际	n	675	361.35
积极	ad	1047	328.98
合作社	n	163	158.34
绿茶	n	35	11.94
合法权益	n_new	128	194.73
严重	ad	1241	295.99
意识	n	638	353.54
社会主义	n	296	171.41
有着	v	219	246.41
感动	v	208	174.88
显示	v	1454	296.64
特别	d	1110	227.67
并非	v	299	293.68
核心	n	498	306.16
空中玫瑰	n_new	3	11.8
被告人	n	616	322.48
线索	n	474	331.44
推广	vn	404	362.27
证券	n	99	75.42
阳光	n	220	210.14
法庭	n	179	156.52
10	m	1382	232.69
认识	v	497	364.77
更加	d	680	226.56
中度污染	n_new	23	27.24
公民	n	216	192.44
2000	m	297	234.71
3000	m	219	217.91
核查	vn	185	191.95
推行	v	181	210.33
待遇	n	237	188.22
报道	v	774	392.78
人民法院	nl	394	234.97
深度	n	317	264.7
中小学	n	228	187.48
母亲	n	572	401.45
产假	n	50	54.39
累计	vd	460	340.29
义务	n	390	214.57
专用	vn	130	129.33
合影	n	63	79.71
南宁海关	n_new	33	37.65
人士	n	292	250.25
缓解	v	199	210.98
纳入	v	428	383.58
推荐	v	246	251.41
询问	v	359	325.3
热爱	v	95	125.39
保姆	n	86	102.13
聚焦	vi	148	177.34
婆婆	n	151	138.01
劳动者	n	100	109.98
驾驶员	n	282	250.82
下降	vi	546	344.59
路灯	n	46	49.12
做到	v	298	262.85
急救	vn	484	323.01
幺样	n_new	73	87.81
蓝天	n	107	118.21
预防	v	304	246.73
邻居	n	172	194.29
备案	vn	163	159.7
生育	vn	314	171.97
努力	ad	686	203.23
街道	n	453	363.38
互动	vn	198	202.75
不可	v	192	212.01
商业	n	333	286.6
设计	vn	732	510.69
前往	v	423	411.27
低于	v	220	182.94
赶到	v	278	261.44
行驶	vi	261	226.79
绽放	v	75	93.97
权力	n	128	134.92
查处	v	408	336.67
研究院	n	234	210.53
品质	n	210	198.12
口腔	n	193	109.08
教授	n	495	367.64
挑战	vn	285	217.2
招聘会	n	62	59.16
意义	n	477	253.45
公众	n	727	402.96
电子	n	752	331.72
同步	vd	226	229.85
感冒	vi	89	100.31
录音	vn	58	61.97
降低	v	474	390.76
感情	n	152	163.14
告知	v	290	280.5
街办	vn	16	20.88
体检	vn	191	188.18
固定	v	212	137.17
打电话	vi	208	213.65
体验	v	550	436.57
恢复	v	486	401.15
吸引	v	469	337.21
典型	n	300	178.18
欢迎	v	175	172.98
高原	n	307	205.98
确定	v	561	435.6
培育	v	184	197.37
更换	v	149	166.91
得知	v	329	287.09
非法	d	998	183.36
原则	n	427	242.71
权益	n	537	231.59
被告	n	255	181.9
案例	n	390	259.11
刑法	n	152	132.15
审理	v	356	264.51
共同	d	901	231.65
伤害	vn	314	248.15
供水	vi	76	89.58
改变	v	470	366.05
手续费	n	72	69.12
托育	n_new	6	11.24
态度	n	262	205.54
性质	n	295	211.98
追星	n_new	12	23.9
降水	n	172	124.86
中国男排	n_new	4	11.19
海疆	n	17	14.38
维修	vn	212	189.23
情节	n	226	181.24
明确	ad	1062	394.14
高山	n	52	54.18
甩棍	n_new	32	25.7
空气	n	437	244.66
主管部门	n_new	139	308.41
孙华山	n_new	12	20.3
携手	vd	85	102.01
海洋	n	248	192.23
海关	n	438	258.02
污染防治	n_new	81	120.46
校园	n	711	389.83
行政罚没款	n_new	3	10.89
三峡大坝	n_new	3	10.89
